indicator,label,composite_score,best_lag_days,best_spearman_rho,best_p_value,kruskal_significant,n_significant_lags,selected
trolololo,Logarithmic Regression,0.6819,90,-0.4698,0.0,True,5,True
reserve_risk,Reserve Risk,0.5062,90,-0.177,0.0,True,4,True
rupl,RUPL,0.468,90,0.1133,0.0,True,5,True
rhodl_ratio,RHODL Ratio,0.4601,90,-0.1001,0.0,True,3,True
pi_cycle,Pi Cycle Top,0.4598,90,0.0997,0.0,True,5,True
mvrv_zscore,MVRV Z-Score,0.4509,90,0.0848,2e-06,True,5,True
cbbi_confidence,Composite Index,0.4419,90,-0.07,7.5e-05,True,3,True
puell_multiple,Puell Multiple,0.4418,7,0.0697,6.4e-05,True,2,True
woobull,Woobull NVT,0.4301,90,-0.0523,0.003117,True,3,True
two_year_ma_mult,2Y MA Multiplier,0.4264,7,0.0481,0.005859,True,1,True
