indicator,lag_days,spearman_rho,p_value,significant,n_samples
cbbi_confidence,7,0.029175,0.09475,False,3281
pi_cycle,7,0.064904,0.000199,True,3281
rupl,7,0.091197,0.0,True,3281
rhodl_ratio,7,0.002046,0.906724,False,3281
puell_multiple,7,0.069711,6.4e-05,True,3281
two_year_ma_mult,7,0.048097,0.005859,True,3281
trolololo,7,-0.131754,0.0,True,3280
mvrv_zscore,7,0.081015,3e-06,True,3281
reserve_risk,7,-0.011146,0.523343,False,3281
woobull,7,0.035166,0.043993,True,3281
cbbi_confidence,14,0.006306,0.718347,False,3274
pi_cycle,14,0.069477,6.9e-05,True,3274
rupl,14,0.085159,1e-06,True,3274
rhodl_ratio,14,-0.025488,0.144826,False,3274
puell_multiple,14,0.054876,0.001683,True,3274
two_year_ma_mult,14,0.033319,0.056617,False,3274
trolololo,14,-0.19935,0.0,True,3273
mvrv_zscore,14,0.069972,6.1e-05,True,3274
reserve_risk,14,-0.045117,0.009827,True,3274
woobull,14,0.011642,0.505479,False,3274
cbbi_confidence,30,-0.035057,0.045409,True,3258
pi_cycle,30,0.069897,6.5e-05,True,3258
rupl,30,0.076126,1.4e-05,True,3258
rhodl_ratio,30,-0.075745,1.5e-05,True,3258
puell_multiple,30,0.030691,0.079851,False,3258
two_year_ma_mult,30,0.003863,0.825554,False,3258
trolololo,30,-0.299502,0.0,True,3257
mvrv_zscore,30,0.060722,0.000525,True,3258
reserve_risk,30,-0.099188,0.0,True,3258
woobull,30,-0.028007,0.109973,False,3258
cbbi_confidence,60,-0.057588,0.001063,True,3228
pi_cycle,60,0.087833,1e-06,True,3228
rupl,60,0.100463,0.0,True,3228
rhodl_ratio,60,-0.098437,0.0,True,3228
puell_multiple,60,-0.007399,0.67433,False,3228
two_year_ma_mult,60,0.000748,0.966111,False,3228
trolololo,60,-0.397242,0.0,True,3227
mvrv_zscore,60,0.077465,1.1e-05,True,3228
reserve_risk,60,-0.145014,0.0,True,3228
woobull,60,-0.03992,0.023323,True,3228
cbbi_confidence,90,-0.06996,7.5e-05,True,3198
pi_cycle,90,0.099669,0.0,True,3198
rupl,90,0.113268,0.0,True,3198
rhodl_ratio,90,-0.100114,0.0,True,3198
puell_multiple,90,-0.017942,0.310422,False,3198
two_year_ma_mult,90,-0.008136,0.645553,False,3198
trolololo,90,-0.469769,0.0,True,3197
mvrv_zscore,90,0.084816,2e-06,True,3198
reserve_risk,90,-0.176963,0.0,True,3198
woobull,90,-0.052255,0.003117,True,3198
