key,label,scenario,buy_thresh,sell_thresh,alloc_buy_%,alloc_sell_%,IS_return_%,IS_drawdown_%,IS_sharpe,IS_win_rate_%,IS_trades,OOS_return_%,OOS_drawdown_%,OOS_sharpe,OOS_win_rate_%,OOS_trades,FULL_return_%,FULL_drawdown_%,FULL_sharpe,FULL_win_rate_%,FULL_trades,FULL_final_val
max_return_s2,🏆 Optimal Max Return (Scenario 2 — Full Dataset),OPT,35,55,25.0000,25.0000,743178349978.7657,98.6908,2.4248,80.0377,1305,141.1529,62.8574,1.0301,53.4091,465,1828257657281.3550,98.6908,2.0291,75.9647,2049,1828257657381354.7500
min_drawdown_s2,🏆 Optimal Min Drawdown (Scenario 2 — Full Dataset),OPT,1,55,1.0000,25.0000,24001.2869,98.4995,1.3665,92.8870,1165,65.3372,40.6759,0.4091,65.3061,207,39923.6464,98.4995,1.1138,85.2495,1447,40023646.3914
max_sharpe_s2,🏆 Optimal Max Sharpe (Scenario 2 — Full Dataset),OPT,13,100,25.0000,1.0000,947042.6804,98.6690,2.6456,100.0000,232,74.3815,66.0424,1.1724,0.0000,36,2372831.3159,98.6690,2.2662,100.0000,232,2372931315.9474
naive_50_50,Challenger: Naive 50/50 threshold,CHG,50,50,25.0000,25.0000,9289855539490.7891,98.5635,2.5242,77.5120,2031,123.4289,63.4314,1.0717,46.7811,1111,20804306900689.0938,98.5635,2.1115,68.0099,3381,20804306900789092.0000
naive_30_70,Challenger: Classic 30/70 threshold,CHG,30,70,25.0000,25.0000,184271958.8697,98.6906,2.4294,83.1224,696,72.4473,66.7656,1.1873,0.0000,36,381528269.0869,98.6906,2.0678,88.0597,880,381528369086.9465
naive_20_80,Challenger: Conservative 20/80 threshold,CHG,20,80,25.0000,25.0000,244588219.0207,98.6906,2.4204,85.7143,541,72.2386,66.7063,1.1837,0.0000,36,524121268.5061,98.6906,2.0613,91.4634,728,524121368506.1439
dca_never_sell,Challenger: Buy-only DCA (no sell),CHG,100,100,10.0000,1.0000,430966.9230,98.7665,2.6820,0.0000,88,109.5798,76.6641,1.3647,0.0000,88,1079876.8722,98.7665,2.2928,0.0000,88,1079976872.2119
aggressive_25_75,Challenger: Aggressive 25/75 balanced,CHG,25,75,25.0000,25.0000,184799244.5111,98.6906,2.4101,85.4271,615,72.4473,66.7656,1.1873,0.0000,36,388284148.6569,98.6906,2.0538,90.2357,800,388284248656.8638
opt_alloc_10pct,Challenger: Optimal thresh + 10% alloc,CHG,35,55,10.0000,10.0000,731379820.6150,98.6424,2.3370,81.7326,1588,210.8251,61.8529,1.0325,70.1245,572,2507229364.8666,98.6424,1.9648,85.4436,2700,2507229464866.6084
opt_alloc_50pct,Challenger: Optimal thresh + 50% alloc,CHG,35,55,50.0000,50.0000,762562253179471.3750,98.7276,2.5098,80.2260,1127,83.1241,66.7317,1.0526,50.3311,351,1397300984873529.0000,98.7276,2.0969,74.3622,1695,1397300984873628928.0000
opt_alloc_100pct,Challenger: Optimal thresh + 100% alloc (all-in),CHG,35,55,100.0000,100.0000,2163975521313506048.0000,98.8016,2.7447,82.4561,114,31.8048,68.2682,1.1716,56.5217,47,2852224149922161664.0000,98.8016,2.2959,75.0000,161,2852224149922161623040.0000
near_opt_32_58,Challenger: Near-optimal buy=32 sell=58,CHG,32,58,25.0000,25.0000,34638845522.7330,98.6906,2.3936,81.3417,1044,91.6579,62.7294,0.9975,68.5039,394,68124467413.0376,98.6906,1.9997,83.1633,1687,68124467513037.5859
near_opt_40_50,Challenger: Near-optimal buy=40 sell=50,CHG,40,50,25.0000,25.0000,6355464683008.3750,98.5635,2.4326,80.8917,1716,123.6630,63.0528,1.0259,56.4935,719,14247792441930.8223,98.5635,2.0340,76.9231,2812,14247792442030822.0000
near_opt_35_65,Challenger: Near-optimal buy=35 sell=65,CHG,35,65,25.0000,25.0000,15690983183.2599,98.6908,2.4437,82.3708,966,86.6162,64.5093,1.1780,75.0000,55,34539237193.0791,98.6908,2.0755,86.8009,1202,34539237293079.0742
dd_10_60,Challenger: Conservative buy=10 sell=60,CHG,10,60,1.0000,25.0000,160678.4112,98.5127,1.6575,87.6033,1568,148.9630,53.4925,0.6750,69.3878,252,422520.2304,98.5127,1.3785,86.3014,1918,422620230.4362
dd_5_70,Challenger: Very selective buy=5 sell=70,CHG,5,70,1.0000,25.0000,48119.4868,98.5070,1.6805,99.4382,1281,133.2133,49.1355,0.7810,0.0000,67,126458.2104,98.5070,1.4196,99.5935,1416,126558210.4495
sharpe_10_90,Challenger: Sharpe-like buy=10 sell=90,CHG,10,90,25.0000,1.0000,2375810.9336,98.6679,2.5948,100.0000,311,103.7354,63.5358,1.1431,0.0000,36,6984160.0681,98.6679,2.2091,100.0000,423,6984260068.0862
sharpe_15_85,Challenger: Sharpe-like buy=15 sell=85,CHG,15,85,25.0000,1.0000,2739628.7115,98.6691,2.5964,100.0000,387,72.4010,66.6750,1.1837,0.0000,36,7943080.7925,98.6691,2.2080,100.0000,560,7943180792.4800
