date,btc_open,note
2012-01-01,6.0,btc_open forward-filled
2012-01-02,7.0,btc_open forward-filled
2012-01-03,5.0,btc_open forward-filled
2012-01-04,5.0,btc_open forward-filled
2012-01-05,5.0,btc_open forward-filled
2012-01-06,6.0,btc_open forward-filled
2012-01-07,7.0,btc_open forward-filled
2012-01-08,10.0,btc_open forward-filled
2012-01-09,11.0,btc_open forward-filled
2012-01-10,13.0,btc_open forward-filled
2012-01-11,11.0,btc_open forward-filled
2012-01-12,13.0,btc_open forward-filled
2012-01-13,7.0,btc_open forward-filled
2012-01-14,7.0,btc_open forward-filled
2012-01-15,8.0,btc_open forward-filled
2012-01-16,7.0,btc_open forward-filled
2012-01-17,6.0,btc_open forward-filled
2012-01-18,6.0,btc_open forward-filled
2012-01-19,7.0,btc_open forward-filled
2012-01-20,7.0,btc_open forward-filled
2012-01-21,7.0,btc_open forward-filled
2012-01-22,7.0,btc_open forward-filled
2012-01-23,7.0,btc_open forward-filled
2012-01-24,7.0,btc_open forward-filled
2012-01-25,6.0,btc_open forward-filled
2012-01-26,6.0,btc_open forward-filled
2012-01-27,6.0,btc_open forward-filled
2012-01-28,6.0,btc_open forward-filled
2012-01-29,6.0,btc_open forward-filled
2012-01-30,6.0,btc_open forward-filled
2012-01-31,6.0,btc_open forward-filled
2012-02-01,6.0,btc_open forward-filled
2012-02-02,7.0,btc_open forward-filled
2012-02-03,5.0,btc_open forward-filled
2012-02-04,5.0,btc_open forward-filled
2012-02-05,6.0,btc_open forward-filled
2012-02-06,6.0,btc_open forward-filled
2012-02-07,7.0,btc_open forward-filled
2012-02-08,11.0,btc_open forward-filled
2012-02-09,11.0,btc_open forward-filled
2012-02-10,13.0,btc_open forward-filled
2012-02-11,11.0,btc_open forward-filled
2012-02-12,13.0,btc_open forward-filled
2012-02-13,6.0,btc_open forward-filled
2012-02-14,5.0,btc_open forward-filled
2012-02-15,5.0,btc_open forward-filled
2012-02-16,5.0,btc_open forward-filled
2012-02-17,5.0,btc_open forward-filled
2012-02-18,5.0,btc_open forward-filled
2012-02-19,5.0,btc_open forward-filled
