date,btc_close,btc_open,cbbi_confidence,pi_cycle,rupl,rhodl_ratio,puell_multiple,two_year_ma_mult,trolololo,mvrv_zscore,reserve_risk,woobull,fill_flag,phase
2012-01-01,6,6.0,25.36,0.0,38.16,50.99,19.74,24.09,,15.96,14.75,26.63,True,in_sample
2012-01-02,6,6.0,27.58,0.0,46.34,53.01,22.07,23.63,22.80776999884036,20.06,17.46,26.19,True,in_sample
2012-01-03,5,5.0,27.26,0.0,45.25,53.53,22.81,21.89,16.84165316777403,19.49,20.99,24.54,True,in_sample
2012-01-04,6,6.0,27.75,0.0,40.44,53.91,23.01,25.45,22.489304438893832,17.05,20.36,27.93,True,in_sample
2012-01-05,7,7.0,31.75,0.0,49.68,54.72,25.35,30.84,27.24236764580582,21.9,18.19,33.02,True,in_sample
2012-01-06,7,7.0,35.04,0.0,61.18,57.15,28.99,30.07,27.084553909079133,29.04,22.37,32.3,True,in_sample
2012-01-07,7,7.0,36.23,0.0,59.34,58.28,32.79,30.48,26.926789020423907,27.89,28.74,32.69,True,in_sample
2012-01-08,8,8.0,36.9,0.0,60.09,58.76,34.0,31.58,31.027594070375386,28.43,27.73,33.73,True,in_sample
2012-01-09,7,7.0,35.91,0.0,62.19,58.22,32.93,28.39,26.611405719658688,29.9,28.12,30.72,True,in_sample
2012-01-10,7,7.0,34.62,0.0,55.27,58.21,29.93,29.35,26.453787273443957,25.4,29.35,31.61,True,in_sample
2012-01-11,7,7.0,35.05,0.0,57.42,58.66,28.97,30.72,26.29621760709282,26.78,25.45,32.93,True,in_sample
2012-01-12,7,7.0,35.58,0.0,60.25,58.77,29.07,30.25,26.138696703285547,28.68,26.5,32.41,True,in_sample
2012-01-13,7,7.0,34.89,0.0,59.03,58.06,28.82,28.96,25.981224544596927,27.93,28.06,31.19,True,in_sample
2012-01-14,7,7.0,34.55,0.0,56.21,57.47,28.38,30.15,25.823801113497,26.11,27.41,32.33,True,in_sample
2012-01-15,8,8.0,35.23,0.0,58.73,57.81,27.65,31.2,29.932762610744827,27.79,25.79,33.32,True,in_sample
2012-01-16,7,7.0,35.61,0.0,60.9,57.63,30.09,29.91,25.50910036342015,29.28,27.13,32.12,True,in_sample
2012-01-17,6,6.0,32.99,0.0,58.17,56.78,28.65,25.14,20.424129991412354,27.46,28.31,27.6,True,in_sample
2012-01-18,6,6.0,30.7,0.0,47.07,56.41,26.1,26.49,20.265618028698775,20.64,26.69,28.88,True,in_sample
2012-01-19,7,7.0,31.07,0.0,50.54,56.31,23.98,28.25,25.03741425099058,22.67,20.91,30.54,True,in_sample
2012-01-20,7,7.0,32.55,0.0,54.56,57.27,24.59,28.98,24.880282811481624,25.16,22.46,31.25,True,in_sample
2012-01-21,7,7.0,32.8,0.0,56.22,56.12,27.34,27.63,24.72319997395975,26.24,24.5,29.99,True,in_sample
2012-01-22,7,7.0,32.26,0.0,53.17,55.49,26.32,28.13,24.566165720076846,24.32,25.31,30.47,True,in_sample
2012-01-23,7,7.0,32.49,0.0,54.34,55.15,27.58,28.4,24.409180031384807,25.06,23.63,30.75,True,in_sample
2012-01-24,7,7.0,32.3,0.0,54.97,55.07,26.08,27.96,24.252242889337115,25.48,24.15,30.35,True,in_sample
2012-01-25,6,6.0,31.31,0.0,53.98,55.04,26.05,25.93,19.157420856352232,24.86,24.41,28.44,True,in_sample
2012-01-26,6,6.0,28.92,0.0,49.18,54.71,22.35,23.84,18.999304811947333,21.93,23.81,26.47,True,in_sample
2012-01-27,6,6.0,27.06,0.0,43.98,53.28,20.83,23.52,18.841238165277023,18.94,21.32,26.17,True,in_sample
